EMPLOYEE NAME,EMPLOYEE_ID,SALARY,MANAGER_ID,YearsExperience,DEPARTMENT_ID
North,198,101302,124,11.2,50
South,199,113812,124,11.5,50
East,200,109431,101,12.3,10
South,201,105582,100,12.9,20
East,202,116969,154,12.3,20
North,203,56642,101,12.9,40
North,204,60150,101,13.5,70
West,205,54445,101,16.4,110
West,206,64445,150,16.9,110
West,100,57189,,10.3,90
North,101,63218,100,13.5,90
South,102,55794,100,10.3,90
East,103,56957,102,10.5,60
South,104,57081,103,11.2,60
North,105,61111,103,11.5,60
South,106,67938,103,12.3,60
East,107,66029,103,12.9,60
South,108,83088,101,13.5,100
East,109,81363,108,16.1,100
North,110,93940,108,16.2,100
North,111,91738,108,18.2,100
West,112,98273,108,19.5,100
West,113,101302,108,20.4,100
West,114,113812,100,19.4,30
North,115,109431,114,12.3,30
South,116,105582,114,12.9,30
East,117,116969,114,13.5,30
South,118,112635,114,16.1,30
North,119,122391,114,10.3,30
South,120,121872,100,10.5,50
East,121,127345,100,11.2,50
South,122,126756,100,11.5,50
East,123,128765,100,12.3,50
North,124,135675,100,12.9,50
North,125,139465,120,13.5,50
West,126,149096,120,16.1,50
West,127,146905,120,16.2,50
West,128,148334,120,18.2,50
North,129,148219,121,19.5,50
South,130,148367,121,20.4,50
East,131,146037,121,19.4,50
South,132,143544,121,12.3,50
North,133,145568,122,12.9,50
South,134,147282,122,13.5,50
East,135,145509,122,16.1,50
South,136,149246,,,50
East,137,144158,,,50
North,138,145188,,,50
North,139,139665,,,50
West,140,147359,,,50
