EMPLOYEE NAME,EMPLOYEE_ID,SALARY,MANAGER_ID,YearsExperience,DEPARTMENT_ID
North,198,39343,124,11.4,50
South,199,46205,124,11.7,50
East,200,37731,101,12.5,10
South,201,43525,100,13.1,20
East,202,39891,154,13.7,20
North,203,56642,101,16.9,40
North,204,60150,101,16.8,70
West,205,54445,101,18.2,110
West,206,64445,150,19.5,110
West,100,57189,,20.4,90
North,101,63218,100,19.4,90
South,102,55794,100,12.3,90
East,103,56957,102,12.9,60
South,104,57081,103,13.5,60
North,105,61111,103,16.1,60
South,106,67938,103,8.9,60
East,107,66029,103,9.1,60
South,108,83088,101,9.4,100
East,109,81363,108,9.9,100
North,110,93940,108,10.2,100
North,111,91738,108,9.5,100
West,112,98273,108,7.1,100
West,113,101302,108,7.9,100
West,114,113812,100,8.2,30
North,115,109431,114,8.7,30
South,116,105582,114,9.1,30
East,117,116969,114,9.5,30
South,118,112635,114,9.6,30
North,119,122391,114,10.3,30
South,120,121872,100,10.5,50
East,121,113858,100,11.2,50
South,122,119726,100,11.5,50
East,123,115346,100,12.3,50
North,124,119722,100,12.9,50
North,125,117211,120,13.5,50
West,126,114853,120,16.1,50
West,127,118163,120,16.2,50
West,128,120247,120,18.2,50
North,129,119844,121,19.5,50
South,130,121383,121,20.4,50
East,131,121485,121,19.4,50
South,132,117177,121,12.3,50
North,133,115488,122,12.9,50
South,134,117000,122,13.5,50
East,135,117068,122,16.1,50
South,136,116353,,,50
East,137,119535,,,50
North,138,120456,,,50
North,139,119166,,,50
West,140,120935,,,50
